"","k","A","B","jmax","j","E","V","i"
"53",33,1.98944424437584,0.435203656450788,3,1,1,0,1
"54",33,1.98944424437584,0.435203656450788,3,2,0,0,3
"55",33,1.98944424437584,0.435203656450788,3,3,0,1,0
"56",34,0.814494946493813,-1.1891642620157,1,1,1,0,4
"57",35,0.443839404808463,-0.508246306980083,2,1,1,0,1
"58",35,0.443839404808463,-0.508246306980083,2,2,0,0,0
"59",36,1.14692654805929,0.789397451594959,1,1,0,0,1
"60",37,-0.474830428167444,-2.13360774320583,1,1,1,0,1
"61",38,-0.718495601100854,0.408905616851017,1,1,0,1,0
"62",39,0.63340703463347,0.0192744245448316,2,1,1,1,2
"63",39,0.63340703463347,0.0192744245448316,2,2,0,0,1
"64",40,1.62646121199769,-1.00121481446044,3,1,0,0,2
"65",40,1.62646121199769,-1.00121481446044,3,2,1,0,2
"66",40,1.62646121199769,-1.00121481446044,3,3,0,0,1
"67",41,0.125783932953274,0.208659087002502,1,1,0,0,1
"68",42,-0.463049612521654,-0.728529321855914,1,1,0,0,2
"69",43,-0.124610712136736,0.377134845060916,3,1,0,1,2
"70",43,-0.124610712136736,0.377134845060916,3,2,1,0,0
"71",43,-0.124610712136736,0.377134845060916,3,3,0,0,0
"72",44,-1.57496096837126,0.330089031590898,1,1,0,0,5
"73",45,-0.184802257693257,3.09056906859502,5,1,0,0,1
"74",45,-0.184802257693257,3.09056906859502,5,2,0,0,1
"75",45,-0.184802257693257,3.09056906859502,5,3,0,0,3
"76",45,-0.184802257693257,3.09056906859502,5,4,1,0,2
"77",45,-0.184802257693257,3.09056906859502,5,5,0,0,4
"78",46,-0.462859092317573,-0.68076672551332,4,1,0,0,2
"79",46,-0.462859092317573,-0.68076672551332,4,2,1,1,0
"80",46,-0.462859092317573,-0.68076672551332,4,3,0,0,2
"81",46,-0.462859092317573,-0.68076672551332,4,4,0,0,3
"82",47,-1.08908750125711,0.393100659336442,1,1,1,0,2
"83",48,0.790672211807781,-0.585426221534501,2,1,0,0,1
"84",48,0.790672211807781,-0.585426221534501,2,2,0,0,1
"85",49,-1.3827267268759,-2.75912439773536,1,1,0,1,2
"86",50,1.2942454361932,-0.286962228820489,1,1,0,0,0
"87",51,0.45701164229286,0.226158123387737,2,1,0,1,0
"88",51,0.45701164229286,0.226158123387737,2,2,1,0,1
"89",52,-0.942988806715504,-0.97310619202975,2,1,0,0,1
"90",52,-0.942988806715504,-0.97310619202975,2,2,1,1,0
"91",53,-1.76416828693757,-0.0516382546523217,1,1,0,0,1
"92",54,-0.0701495365538363,-1.09465745021111,1,1,0,0,2
"93",55,-0.36089970712027,0.209363097379102,2,1,0,1,3
"94",55,-0.36089970712027,0.209363097379102,2,2,0,0,1
"95",56,0.419921085295834,0.162881110236692,1,1,0,0,1
"96",57,-0.012973397223547,1.01501475919451,1,1,0,0,1
"97",58,0.43208080362168,0.0686425443658314,2,1,0,1,1
"98",58,0.43208080362168,0.0686425443658314,2,2,0,0,1
"99",59,0.878280439369006,1.17994470573829,4,1,0,0,2
"100",59,0.878280439369006,1.17994470573829,4,2,1,0,1
"101",59,0.878280439369006,1.17994470573829,4,3,0,0,0
"102",59,0.878280439369006,1.17994470573829,4,4,0,0,1
"103",60,0.713891659851694,1.65518377417077,1,1,0,0,0
"104",61,0.111626294144517,-1.37281295657017,1,1,1,0,2
"105",62,1.70604071505072,-0.467478590478938,4,1,0,0,2
"106",62,1.70604071505072,-0.467478590478938,4,2,0,0,1
"107",62,1.70604071505072,-0.467478590478938,4,3,0,0,1
"108",62,1.70604071505072,-0.467478590478938,4,4,1,0,1
"109",63,1.51550089349683,-0.520229057963033,2,1,0,0,1
"110",63,1.51550089349683,-0.520229057963033,2,2,0,0,2
"111",64,0.64426154498276,1.80859961949376,3,1,1,0,0
"112",64,0.64426154498276,1.80859961949376,3,2,0,0,5
"113",64,0.64426154498276,1.80859961949376,3,3,1,0,3
"114",65,1.03653535772744,0.204500450597684,2,1,1,0,4
"115",65,1.03653535772744,0.204500450597684,2,2,0,0,1
"116",66,0.36116776429665,-0.123801938314031,3,1,0,0,1
"117",66,0.36116776429665,-0.123801938314031,3,2,0,0,3
"118",66,0.36116776429665,-0.123801938314031,3,3,0,1,0
"119",67,0.517544870346823,1.2975278078926,1,1,0,0,1
"120",68,0.218128680115309,0.538275877895626,2,1,0,0,2
"121",68,0.218128680115309,0.538275877895626,2,2,0,0,1
"122",69,-0.218750856470007,2.48805491970737,3,1,1,0,1
"123",69,-0.218750856470007,2.48805491970737,3,2,0,0,2
"124",69,-0.218750856470007,2.48805491970737,3,3,0,1,0
"125",70,1.49468814635822,-0.310393398990341,2,1,0,0,0
"126",70,1.49468814635822,-0.310393398990341,2,2,0,1,2
"127",71,0.253271352192215,-1.90631227455972,1,1,0,0,1
"128",72,1.33087769594599,1.11927116364941,1,1,0,0,3
"129",73,-0.46109694443604,-0.91800396282857,1,1,0,1,1
"130",74,-0.497245008663664,-1.18163063022926,1,1,1,0,4
"131",75,0.814001444654717,-0.489952234771732,1,1,1,0,0
"132",76,1.0090650113677,0.403387094911066,1,1,0,0,0
"133",77,-2.09393256176768,0.332782215280904,1,1,0,1,1
"134",78,-0.665270112401593,0.266788014860742,6,1,0,0,0
"135",78,-0.665270112401593,0.266788014860742,6,2,0,1,1
"136",78,-0.665270112401593,0.266788014860742,6,3,1,1,2
"137",78,-0.665270112401593,0.266788014860742,6,4,0,1,3
"138",78,-0.665270112401593,0.266788014860742,6,5,0,0,1
"139",78,-0.665270112401593,0.266788014860742,6,6,1,0,1
"140",79,-1.14664692496349,0.00830068834508749,2,1,0,0,3
"141",79,-1.14664692496349,0.00830068834508749,2,2,0,1,1
"142",80,-1.23079926233788,-0.340617457113102,1,1,0,1,1
"143",81,0.0538239526805718,-2.55105044483497,3,1,0,0,1
"144",81,0.0538239526805718,-2.55105044483497,3,2,0,0,2
"145",81,0.0538239526805718,-2.55105044483497,3,3,0,0,1
"146",82,-0.836248083213271,-0.262124039301771,2,1,1,0,0
"147",82,-0.836248083213271,-0.262124039301771,2,2,1,0,0
"148",83,-0.206269310034314,-0.60232618037957,1,1,0,0,0
"149",84,-0.0880755875683289,1.33646552316348,2,1,0,1,1
"150",84,-0.0880755875683289,1.33646552316348,2,2,0,0,3
"151",85,-0.87703921732841,0.151660071157081,2,1,0,0,0
"152",85,-0.87703921732841,0.151660071157081,2,2,0,0,0
"153",86,1.16763803792349,0.838771552285554,2,1,0,0,1
"154",86,1.16763803792349,0.838771552285554,2,2,0,0,2
"155",87,-0.59387791471963,0.145047262200582,1,1,1,1,2
"156",88,-0.978973247403981,0.00900197618789925,2,1,1,0,0
"157",88,-0.978973247403981,0.00900197618789925,2,2,0,0,2
"158",89,-0.813593993082798,-2.05162539568035,1,1,0,0,1
"159",90,-2.38166170294007,-0.19014543854413,2,1,0,0,0
"160",90,-2.38166170294007,-0.19014543854413,2,2,0,0,2
"161",91,-2.06897005853457,0.266271601624945,2,1,0,1,0
"162",91,-2.06897005853457,0.266271601624945,2,2,0,0,3
"163",92,-0.375700665387572,0.172938347533477,1,1,0,0,1
"164",93,0.605035448731198,-0.0112790136867331,1,1,0,0,3
"165",94,-0.391408623182773,0.422132672324228,1,1,0,0,4
"166",95,-0.558433058972377,1.41021557695575,5,1,0,1,0
"167",95,-0.558433058972377,1.41021557695575,5,2,0,1,1
"168",95,-0.558433058972377,1.41021557695575,5,3,0,0,3
"169",95,-0.558433058972377,1.41021557695575,5,4,0,1,2
"170",95,-0.558433058972377,1.41021557695575,5,5,0,0,1
"171",96,0.768621943610695,-0.385282525345301,2,1,0,0,1
"172",96,0.768621943610695,-0.385282525345301,2,2,0,0,3
"173",97,0.798226038531205,-0.269434066283741,2,1,0,1,1
"174",97,0.798226038531205,-0.269434066283741,2,2,0,0,0
"175",98,1.82843094287414,1.43959156489146,3,1,0,0,2
"176",98,1.82843094287414,1.43959156489146,3,2,0,0,3
"177",98,1.82843094287414,1.43959156489146,3,3,0,0,1
"178",99,0.876519347408327,-0.00985239877098134,1,1,0,0,1
"179",100,1.23404063482663,0.677618484956142,2,1,0,1,0
"180",100,1.23404063482663,0.677618484956142,2,2,0,0,1
"181",101,-0.772600366816715,2.0513851694966,1,1,0,1,0
"182",102,0.92280674517129,-1.18343673007593,1,1,0,0,1
"183",103,-1.49065555563131,0.821003248663689,1,1,1,0,0
"184",104,-0.493969645581949,0.0945831386178602,1,1,0,1,2
"185",105,-0.157241399588672,-0.202649923519086,2,1,0,0,3
"186",105,-0.157241399588672,-0.202649923519086,2,2,1,1,1
"187",106,0.389381903740147,0.0219019178520057,1,1,0,0,3
"188",107,0.755615624756003,0.365710550019038,5,1,0,0,0
"189",107,0.755615624756003,0.365710550019038,5,2,0,0,2
"190",107,0.755615624756003,0.365710550019038,5,3,0,0,1
"191",107,0.755615624756003,0.365710550019038,5,4,0,0,0
"192",107,0.755615624756003,0.365710550019038,5,5,0,0,2
"193",108,-2.88150333017325,0.0501145035584127,2,1,0,0,2
"194",108,-2.88150333017325,0.0501145035584127,2,2,0,0,0
"195",109,0.901120712960603,-0.103775362960787,1,1,0,0,0
"196",110,-1.52104467448188,0.366812473753192,3,1,0,0,2
"197",110,-1.52104467448188,0.366812473753192,3,2,0,0,1
"198",110,-1.52104467448188,0.366812473753192,3,3,0,0,1
"199",111,-0.517252992697704,0.153919983492297,1,1,0,1,0
"200",112,0.693088124540559,1.08972378762246,4,1,0,1,1
"201",112,0.693088124540559,1.08972378762246,4,2,0,0,1
"202",112,0.693088124540559,1.08972378762246,4,3,0,0,0
"203",112,0.693088124540559,1.08972378762246,4,4,0,0,0
"204",113,-0.776439520422769,-0.438269538434875,2,1,0,0,1
"205",113,-0.776439520422769,-0.438269538434875,2,2,0,0,2
"206",114,-0.259435203153639,0.849810309049675,2,1,0,0,0
"207",114,-0.259435203153639,0.849810309049675,2,2,0,0,1
"208",115,0.294526729038321,-0.995318009058535,1,1,1,1,2
"209",116,-0.254902487275818,-1.32489619121073,1,1,1,1,1
"210",117,1.20907934944885,0.323254606726434,2,1,0,0,4
"211",117,1.20907934944885,0.323254606726434,2,2,0,0,0
"212",118,-0.191198574432302,-0.412836116427247,2,1,0,0,2
"213",118,-0.191198574432302,-0.412836116427247,2,2,0,0,1
"214",119,-0.275727930879467,2.01098625841929,5,1,1,0,2
"215",119,-0.275727930879467,2.01098625841929,5,2,0,1,1
"216",119,-0.275727930879467,2.01098625841929,5,3,0,0,1
"217",119,-0.275727930879467,2.01098625841929,5,4,0,0,0
"218",119,-0.275727930879467,2.01098625841929,5,5,0,0,0
"219",120,1.80019606543216,-0.323124385677551,1,1,0,0,1
"220",121,1.64089114928955,-0.215677734252805,1,1,0,0,4
"221",122,-0.629716148822061,-1.36786480747414,2,1,1,0,1
"222",122,-0.629716148822061,-1.36786480747414,2,2,0,1,0
"223",123,0.142142863724415,1.64231244670139,3,1,0,0,1
"224",123,0.142142863724415,1.64231244670139,3,2,0,1,3
"225",123,0.142142863724415,1.64231244670139,3,3,0,0,1
"226",124,0.0104152795232218,1.10593214113483,4,1,0,0,1
"227",124,0.0104152795232218,1.10593214113483,4,2,1,0,0
"228",124,0.0104152795232218,1.10593214113483,4,3,0,0,0
"229",124,0.0104152795232218,1.10593214113483,4,4,0,0,1
"230",125,-0.633140027844779,-0.260150944154535,1,1,0,0,2
"231",126,0.185641503628206,0.726882512689513,2,1,0,0,0
"232",126,0.185641503628206,0.726882512689513,2,2,0,0,1
"233",127,0.101845577730727,-0.736049601900522,1,1,0,1,1
"234",128,-0.466970041166832,0.265160553825083,1,1,1,1,4
"235",129,-0.0762343121996799,1.42324346018718,1,1,1,1,1
"236",130,0.700738529485412,-0.204156892120595,1,1,0,1,0
"237",131,-1.42421723226289,-1.81138530218022,1,1,0,0,2
"238",132,-0.183547617259572,1.59263008091058,3,1,0,0,0
"239",132,-0.183547617259572,1.59263008091058,3,2,1,0,0
"240",132,-0.183547617259572,1.59263008091058,3,3,0,0,0
"241",133,-1.3782552320743,-0.882141311455716,1,1,0,0,0
"242",134,-0.559055365917701,1.12206045045953,1,1,0,1,0
"243",135,1.4310871744688,-0.204120217091596,1,1,0,0,1
"244",136,-0.461059642875527,0.963607884282505,2,1,0,0,0
"245",136,-0.461059642875527,0.963607884282505,2,2,0,0,2
"246",137,0.251399626614937,-0.831899638796315,1,1,0,0,1
"247",138,-1.4774330032355,-0.232877631392329,3,1,0,0,0
"248",138,-1.4774330032355,-0.232877631392329,3,2,0,1,0
"249",138,-1.4774330032355,-0.232877631392329,3,3,0,0,1
"250",139,1.51106349316644,0.930636507437083,4,1,0,1,0
"251",139,1.51106349316644,0.930636507437083,4,2,1,1,2
"252",139,1.51106349316644,0.930636507437083,4,3,0,0,1
"253",139,1.51106349316644,0.930636507437083,4,4,0,0,1
"254",140,-1.47989897065102,-1.33552599344237,1,1,1,1,6
"255",141,0.544465163319292,1.69199604977109,1,1,0,0,0
"256",142,1.56710977932762,-1.72403087359758,1,1,0,0,1
"257",143,-1.48104110611063,0.753487031207151,2,1,0,0,0
"258",143,-1.48104110611063,0.753487031207151,2,2,1,1,0
"259",144,1.47091016261547,1.80601884340589,5,1,0,1,2
"260",144,1.47091016261547,1.80601884340589,5,2,0,0,0
"261",144,1.47091016261547,1.80601884340589,5,3,1,0,0
"262",144,1.47091016261547,1.80601884340589,5,4,0,1,3
"263",144,1.47091016261547,1.80601884340589,5,5,0,0,1
"264",145,-0.0962040184252284,0.676988434542903,1,1,0,0,1
"265",146,1.36224302805964,-1.24634200976023,2,1,1,1,3
"266",146,1.36224302805964,-1.24634200976023,2,2,0,0,0
"267",147,-0.178553277851819,1.44254830020103,2,1,0,1,1
"268",147,-0.178553277851819,1.44254830020103,2,2,0,0,1
"269",148,1.70707479289735,1.1886971966328,2,1,0,0,3
"270",148,1.70707479289735,1.1886971966328,2,2,0,1,1
"271",149,-0.2798249363808,1.13343995675475,1,1,0,1,0
"272",150,0.487892730187779,-0.517828966109687,2,1,0,0,5
"273",150,0.487892730187779,-0.517828966109687,2,2,1,1,3
"274",151,-1.97279477855689,0.0311047285679012,4,1,0,0,1
"275",151,-1.97279477855689,0.0311047285679012,4,2,0,1,1
"276",151,-1.97279477855689,0.0311047285679012,4,3,1,0,1
"277",151,-1.97279477855689,0.0311047285679012,4,4,0,0,2
"278",152,1.0708308483134,0.476950902612555,2,1,1,0,0
"279",152,1.0708308483134,0.476950902612555,2,2,0,0,1
"280",153,0.181208167298336,1.02443758049693,1,1,0,1,1
"281",154,0.0209845575065684,0.931405912257723,3,1,0,0,1
"282",154,0.0209845575065684,0.931405912257723,3,2,0,0,0
"283",154,0.0209845575065684,0.931405912257723,3,3,0,0,1
"284",155,-1.91740868842653,-0.482568193200225,2,1,0,0,2
"285",155,-1.91740868842653,-0.482568193200225,2,2,0,0,1
"286",156,-0.284513984940985,1.28384870672546,2,1,0,0,1
"287",156,-0.284513984940985,1.28384870672546,2,2,0,0,2
"288",157,1.05604819186355,-1.25795253969139,1,1,0,1,0
"289",158,1.7246296780186,-2.33482088888158,1,1,0,0,0
"290",159,-0.657651406997742,-1.37984602686445,1,1,0,0,0
"291",160,-1.29601299573918,1.1167806651115,5,1,0,0,1
"292",160,-1.29601299573918,1.1167806651115,5,2,1,0,0
"293",160,-1.29601299573918,1.1167806651115,5,3,0,0,2
"294",160,-1.29601299573918,1.1167806651115,5,4,0,0,1
"295",160,-1.29601299573918,1.1167806651115,5,5,0,0,0
"296",161,-2.13205085535748,1.48634666443877,1,1,0,1,0
"297",162,-0.184722991318183,-1.08162262775172,1,1,0,0,3
"298",163,1.33523975790065,0.156392951273126,2,1,0,1,2
"299",163,1.33523975790065,0.156392951273126,2,2,0,0,0
"300",164,-1.14884380356643,-1.15788741094383,1,1,0,1,2
"301",165,-0.621840551724025,0.432678691277425,2,1,0,0,3
"302",165,-0.621840551724025,0.432678691277425,2,2,0,0,1
"303",166,-0.906478957227355,-0.4329873013804,1,1,0,0,0
"304",167,-0.949929779459608,0.123691020347503,4,1,0,0,2
"305",167,-0.949929779459608,0.123691020347503,4,2,0,1,0
"306",167,-0.949929779459608,0.123691020347503,4,3,0,0,2
"307",167,-0.949929779459608,0.123691020347503,4,4,1,0,1
"308",168,0.512202532976434,-1.78264237977322,1,1,0,0,1
"309",169,0.31947201892292,-0.423233107854918,1,1,0,0,1
"310",170,0.379763774334387,-0.620726896194026,1,1,0,0,2
"311",171,1.70267737030112,-0.518781471160089,1,1,0,0,1
"312",172,-0.328571014888281,1.79863975185209,7,1,0,1,2
"313",172,-0.328571014888281,1.79863975185209,7,2,0,0,2
"314",172,-0.328571014888281,1.79863975185209,7,3,0,0,0
"315",172,-0.328571014888281,1.79863975185209,7,4,0,1,2
"316",172,-0.328571014888281,1.79863975185209,7,5,1,0,2
"317",172,-0.328571014888281,1.79863975185209,7,6,0,0,3
"318",172,-0.328571014888281,1.79863975185209,7,7,0,0,1
"319",173,0.259370098245456,-0.888714577881423,1,1,1,0,3
"320",174,-1.18992444267884,-0.536525586121876,1,1,0,0,0
"321",175,0.997924954757434,-0.447306849056485,2,1,1,0,1
"322",175,0.997924954757434,-0.447306849056485,2,2,0,0,3
"323",176,-1.3901303943952,0.136361297263655,1,1,1,0,0
"324",177,-0.814048845727746,0.0705153578685155,1,1,0,1,1
"325",178,-0.172220227751951,-0.0604805252373118,3,1,1,1,3
"326",178,-0.172220227751951,-0.0604805252373118,3,2,0,0,0
"327",178,-0.172220227751951,-0.0604805252373118,3,3,0,0,1
"328",179,-1.37618338721683,0.516440491964202,2,1,0,1,1
"329",179,-1.37618338721683,0.516440491964202,2,2,0,0,1
"330",180,-0.264744504089707,-0.881467010195187,1,1,0,1,0
"331",181,0.193676609676119,-1.92048744791685,1,1,0,1,2
"332",182,-1.25824550546332,0.972479369741513,2,1,0,1,1
"333",182,-1.25824550546332,0.972479369741513,2,2,0,0,1
"334",183,2.00365328963469,0.541401818548078,1,1,0,0,3
"335",184,0.874981946186892,0.925908650537865,1,1,0,1,0
"336",185,1.56447879460025,1.03247986314385,2,1,0,0,1
"337",185,1.56447879460025,1.03247986314385,2,2,0,0,1
"338",186,1.56816564270492,1.92379005681262,2,1,0,0,1
"339",186,1.56816564270492,1.92379005681262,2,2,0,0,0
"340",187,0.275679668579893,-0.531729241449768,1,1,0,0,1
"341",188,0.969340977163964,0.113519042107347,1,1,1,0,1
"342",189,1.01390239803753,0.186451891182225,1,1,1,0,0
"343",190,0.225795991399502,0.200283647730967,3,1,0,0,2
"344",190,0.225795991399502,0.200283647730967,3,2,1,1,2
"345",190,0.225795991399502,0.200283647730967,3,3,0,0,1
"346",191,-0.771590635739828,-0.412483873940726,2,1,0,1,3
"347",191,-0.771590635739828,-0.412483873940726,2,2,0,1,1
"348",192,0.0731674840794977,-0.0423180577755237,3,1,0,0,3
"349",192,0.0731674840794977,-0.0423180577755237,3,2,1,0,0
"350",192,0.0731674840794977,-0.0423180577755237,3,3,0,0,0
"351",193,-0.734845600651028,-0.614328357195184,2,1,0,0,3
"352",193,-0.734845600651028,-0.614328357195184,2,2,0,0,1
"353",194,1.11476363546171,0.426006241463678,2,1,0,0,1
"354",194,1.11476363546171,0.426006241463678,2,2,0,0,3
"355",195,-0.749922247531161,-1.27899133095489,1,1,1,0,1
"356",196,-0.926122439744935,-0.480050156593678,1,1,1,0,0
"357",197,1.35349688265413,-0.311334817640896,1,1,0,0,1
"358",198,0.0824911983168246,-1.16396533225461,2,1,0,0,1
"359",198,0.0824911983168246,-1.16396533225461,2,2,0,1,2
"360",199,1.40716259142094,-1.30345532215386,1,1,0,0,0
"361",200,0.727917737451311,-0.870035116716875,1,1,0,1,0
"362",201,1.46032328314304,-0.0319136295188032,2,1,0,0,0
"363",201,1.46032328314304,-0.0319136295188032,2,2,0,0,1
"364",202,-0.776250214995903,-2.28326732459989,1,1,1,0,3
"365",203,-0.353108359470799,-0.912820257200426,1,1,0,0,0
"366",204,1.55035445883994,1.7469808661988,2,1,0,1,0
"367",204,1.55035445883994,1.7469808661988,2,2,0,0,1
"368",205,-0.514898625242363,0.219329326928057,1,1,0,0,0
"369",206,-0.689257411579043,1.26328896778389,1,1,0,0,3
"370",207,0.0699903283957338,0.836603797878157,4,1,0,0,3
"371",207,0.0699903283957338,0.836603797878157,4,2,0,0,2
"372",207,0.0699903283957338,0.836603797878157,4,3,0,0,0
"373",207,0.0699903283957338,0.836603797878157,4,4,1,0,0
"374",208,-0.534851956511287,0.609044421915104,1,1,0,1,0
"375",209,-1.35361135692688,0.173748129467079,1,1,0,0,1
"376",210,-0.484200134962287,0.295059881464791,2,1,0,0,2
"377",210,-0.484200134962287,0.295059881464791,2,2,1,0,2
"378",211,0.959458621209236,-1.0508676092288,2,1,0,1,1
"379",211,0.959458621209236,-1.0508676092288,2,2,1,0,0
"380",212,2.3350884173929,-1.78227882994538,1,1,0,0,3
"381",213,-0.609234174360029,0.103306759915597,2,1,0,1,0
"382",213,-0.609234174360029,0.103306759915597,2,2,0,0,0
"383",214,0.995130824872973,-1.99282318406887,2,1,0,0,1
"384",214,0.995130824872973,-1.99282318406887,2,2,0,0,1
"385",215,-0.978027624898397,0.517394425942527,2,1,0,1,1
"386",215,-0.978027624898397,0.517394425942527,2,2,1,0,3
"387",216,0.701048037780815,0.11714384806984,1,1,0,0,1
"388",217,2.21238532368279,-0.0566431677054797,1,1,0,0,1
"389",218,1.44331845216483,-0.57360502824703,1,1,1,0,2
"390",219,2.8682412748663,-1.17313157094746,2,1,0,0,1
"391",219,2.8682412748663,-1.17313157094746,2,2,0,0,2
"392",220,0.686292118733299,-1.17073321269024,1,1,0,0,1
"393",221,-0.503180890590469,2.0874127996081,1,1,0,1,2
"394",222,-0.777852044223286,-0.47244691200264,3,1,0,1,0
"395",222,-0.777852044223286,-0.47244691200264,3,2,0,0,2
"396",222,-0.777852044223286,-0.47244691200264,3,3,0,0,3
"397",223,-2.20659487210049,0.502884286099144,1,1,0,0,2
"398",224,1.58967769355616,-0.593827494703294,1,1,1,0,3
"399",225,1.08700821772982,1.4522643191769,3,1,0,0,4
"400",225,1.08700821772982,1.4522643191769,3,2,0,0,0
"401",225,1.08700821772982,1.4522643191769,3,3,0,0,0
"402",226,2.40745227042308,-0.872052250331198,1,1,0,1,1
"403",227,0.412013551514758,1.19122976773012,1,1,0,1,1
"404",228,1.00948541776458,-1.07328928532796,1,1,0,1,2
"405",229,1.62450491550714,-0.154702156152197,2,1,0,1,0
"406",229,1.62450491550714,-0.154702156152197,2,2,1,1,2
"407",230,0.869483547187871,-1.06057888513082,2,1,1,0,1
"408",230,0.869483547187871,-1.06057888513082,2,2,0,0,2
"409",231,0.181703180268459,1.37916837344617,1,1,0,1,1
"410",232,0.0495952419652606,0.480907921177511,1,1,1,1,0
"411",233,0.401651530895452,0.458425477686909,2,1,0,0,0
"412",233,0.401651530895452,0.458425477686909,2,2,0,0,0
"413",234,-0.85081174813007,0.664506237022588,2,1,0,1,2
"414",234,-0.85081174813007,0.664506237022588,2,2,0,0,1
"415",235,-0.310316723252423,0.975448437931461,2,1,0,0,0
"416",235,-0.310316723252423,0.975448437931461,2,2,0,0,2
"417",236,-0.227219893940047,-0.603430762865388,2,1,0,1,0
"418",236,-0.227219893940047,-0.603430762865388,2,2,0,0,3
"419",237,0.834809634389229,0.778146636475044,2,1,0,1,1
"420",237,0.834809634389229,0.778146636475044,2,2,0,0,0
"421",238,0.312028271949525,0.467858291281193,1,1,0,0,0
"422",239,-0.452494094070913,-0.271879117208541,1,1,1,0,2
"423",240,-0.07550503819057,-1.76115888464141,1,1,0,0,1
"424",241,-0.203816254232911,0.165826000063911,2,1,0,0,3
"425",241,-0.203816254232911,0.165826000063911,2,2,0,0,0
"426",242,-0.679538357633694,-1.12056478892611,3,1,0,0,3
"427",242,-0.679538357633694,-1.12056478892611,3,2,1,1,2
"428",242,-0.679538357633694,-1.12056478892611,3,3,0,1,0
"429",243,1.1741053197463,-1.73733078326876,1,1,1,0,1
"430",244,1.14596985909786,-0.332118293440466,2,1,0,0,2
"431",244,1.14596985909786,-0.332118293440466,2,2,0,0,0
"432",245,-1.56687834811585,0.590969661318487,2,1,0,0,4
"433",245,-1.56687834811585,0.590969661318487,2,2,0,1,0
"434",246,-0.87002773773068,-1.6955295377901,1,1,0,1,1
"435",247,0.19332102949442,0.0332916555364388,2,1,1,1,2
